"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022600","GO:0022600","digestive system process","26/2347","91/18842",0.285714285714286,2.29374885872542,4.66649514777408,3.07794027909268e-05,0.00789125260125476,0.00789125260125475,"STK39/MUC6/NPSR1/NPPC/CYP8B1/HAMP/SLC2A5/CHRM1/PBLD/SLC26A6/TFF2/NPC1L1/FGF10/SOX9/CHRM5/IL17A/NR1I2/LPCAT3/LDLR/MUC4/AQP5/CRH/OPRK1/NEUROD1/OXT/WNK3",26
"GO:0090596","GO:0090596","sensory organ morphogenesis","37/2347","153/18842",0.241830065359477,1.94144102748328,4.41040187127395,4.63690888312281e-05,0.0113477806485151,0.0113477806485151,"TSKU/USH1C/FGFR2/WNT16/TTC39C/SOX4/POU3F4/CALB1/FOXN4/SIX1/EFNA5/TBX3/WNT2B/PROM1/OSR2/TSPAN12/NECTIN1/THY1/SAMD7/FOXF2/CLRN2/SOX9/PITX2/WNT9A/STRC/MFSD2A/TBX2/SDK1/NKD1/RS1/TULP1/MYO3A/HOXA1/GSC/MYO7A/AGTPBP1/FOXL2",37
"GO:0009611","GO:0009611","response to wounding","92/2347","496/18842",0.185483870967742,1.48908696070481,4.16378779440304,5.17467241104753e-05,0.0121132331569912,0.0121132331569912,"TSKU/HNF4A/ITGA2/FLRT3/BNIP3/GATA1/CLDN1/PDGFB/NPPC/CELA2B/WNT1/C4BPB/ANO5/P2RY1/ALOX15/TNFAIP3/SPRR3/POU5F1/TUBB1/GP9/SCUBE1/TNC/HRG/JAML/DUOX1/ADGRG1/DGKA/ITGB4/DGKK/ARHGEF19/ENG/ANXA8/ISL1/AJAP1/MPIG6B/DSP/WNT7A/DCBLD2/F2RL3/FGF10/MYOZ1/FGL1/F5/VTN/CCN2/KCNK2/MAPK8IP3/PRKG1/ADTRP/CLDN4/FCER1G/UBASH3B/INHBB/TYROBP/KLK6/TSPAN8/CHMP4C/AGER/SERPINA10/PLAT/IL17A/GNAQ/ITGB3/FERMT1/F2RL1/PRKCQ/TGFB2/PRKCE/RTN4RL1/VASH1/CYP4F11/SERPINE2/KLK8/ITGAV/CEACAM1/UCK2/ODAM/FIGNL2/ALOX5/CPB2/DSG2/FGA/INSL3/GATA2/PDPN/RIPOR1/FERMT3/EREG/GAP43/F11/NFKBIZ/KRT1",92
"GO:0050673","GO:0050673","epithelial cell proliferation","70/2347","356/18842",0.196629213483146,1.57856311906665,4.15706322774127,6.35924967375128e-05,0.0142659167681154,0.0142659167681154,"FABP7/BTK/TGM1/CLDN1/PDGFB/PLXNB3/ERBB4/JCAD/MIR135B/TNFAIP3/CLEC12B/FGFR2/WNT16/LOXL2/JAML/APELA/PDCD6/ENG/ISL1/SFRP2/THBS4/SIX1/TGFA/JUND/WNT7A/NME2/NOX5/OSR2/OR51E2/AQP11/FGF10/PKHD1/IHH/FGL1/SGPP2/APLNR/SOX9/MARVELD3/OVOL3/GDF2/C5AR1/KRT4/TBX2/IL17A/DAB2/ITGB3/PRKDC/FERMT1/AGTR1/TGFB2/APLN/VASH1/KLK8/MIR2355/CEACAM1/ODAM/ALOX5/GATA6/MCC/HTR2B/CCL26/BMPR2/GATA2/BGLAP/EREG/CDKN2B/CDH3/NFKBIZ/NUPR1/TNFSF12",70
"GO:0007586","GO:0007586","digestion","31/2347","122/18842",0.254098360655738,2.03993238665335,4.34674793470649,6.91527264553313e-05,0.0148927311694201,0.0148927311694201,"STK39/MUC6/NPSR1/NPPC/CYP8B1/HAMP/SLC2A5/CHRM1/PBLD/SLC26A6/TFF2/CTRB2/NPC1L1/DAO/FGF10/SOX9/ASAH2/PRSS3/CHRM5/IL17A/NR1I2/LPCAT3/LDLR/MUC4/AQP5/CRH/OPRK1/NEUROD1/UCN2/OXT/WNK3",31
"GO:0043270","GO:0043270","positive regulation of monoatomic ion transport","40/2347","174/18842",0.229885057471264,1.84554505874459,4.22663595930623,7.89648037699395e-05,0.0163517885960521,0.0163517885960521,"KCNN4/STK39/P2RX1/STAC3/PDGFB/NPSR1/G6PD/GCG/LCN2/ASPH/AMIGO1/WFS1/LILRA2/P2RX3/P2RX7/CHRM1/ISL1/PLA2G1B/TRPC3/LILRA5/VMP1/ATP2A1/F2RL3/THY1/CASR/APLNR/KCNC1/PPP3R2/WNK2/AKAP7/STAC/TRPV2/KCNC2/TRPV3/CRH/ATP1B1/OPRK1/CRACR2A/PKP2/WNK3",40
"GO:0071467","GO:0071467","cellular response to pH","12/2347","29/18842",0.413793103448276,3.32198110574027,4.72020664944276,9.06874482155544e-05,0.0180837489330572,0.0180837489330572,"HVCN1/PKD2L1/SCNN1D/ASIC1/GNAQ/MCOLN1/KCNK3/INSRR/GPR65/TRPV1/GPR4/SCNN1G",12
"GO:0003163","GO:0003163","sinoatrial node development","7/2347","11/18842",0.636363636363636,5.10880427625208,5.1417086554548,9.62723763088101e-05,0.0185118026445226,0.0185118026445226,"GJB6/ISL1/TBX3/MESP1/SHOX2/GATA6/TBX5",7
"GO:0002765","GO:0002765","immune response-inhibiting signal transduction","14/2347","38/18842",0.368421052631579,2.95772879151436,4.55671183236524,0.000108256467884317,0.0197849329603658,0.0197849329603658,"FCAR/KIR3DL1/KIR2DS4/NCR1/CLEC12B/LILRA2/KIR2DL1/LILRA6/LILRB3/LILRA5/LAIR1/LILRA1/KIR2DL3/CD33",14
"GO:0048729","GO:0048729","tissue morphogenesis","77/2347","408/18842",0.188725490196078,1.51511107212378,3.96783436600251,0.000115698836354149,0.0197849329603658,0.0197849329603658,"KRT33B/ITGA2/COBL/FLRT3/HOXD11/KRT16/DCHS2/KRT39/HEY1/TNNC1/NDRG4/LCN2/NOTCH1/TBXT/FGFR2/WNT16/WNT3A/TNC/APELA/FOXF1/ITGB4/ENG/KRT32/ISL1/AJAP1/SMAD7/DSP/SFRP2/FOXN4/HOXB7/SIX1/PERP/KRT40/PODXL/PRICKLE1/KRT9/MYH7/WNT7A/TBX3/SALL1/KRT23/FGF10/PKHD1/CASR/TNNT2/IHH/ITGA8/KRT27/RNF207/APLNR/SOX9/EYA2/MESP1/KRT12/AIRE/STARD13/GJA1/GDF2/DNAAF1/SHOX2/TBX2/ITGB3/FERMT1/NKD1/SOX18/TGFB2/ITGAV/CEACAM1/ADAMTS12/FIGNL2/TMEM59L/WNT10A/BMPR2/WNT5B/PDPN/DCHS1/PKP2",77
