"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048469","GO:0048469","cell maturation","36/2590","133/18842",0.270676691729323,1.96914680523703,4.47753048549124,3.63811522143548e-05,0.0011627075839266,0.0011627075839266,"TMEM79/NKX6-1/KCNB1/CCNB1/ROPN1L/CFTR/FLVCR1/ADGRB3/IL21/EDNRB/CABYR/CX3CL1/EPO/CATSPERQ/EDN1/CCL19/LGI4/P2RX5/CNTNAP2/EPHA8/SMIM45/PPARG/RND1/SLC26A3/MYOC/PLEK2/ZAR1L/LHX6/EPB42/SIX3/TDRKH/TRIM58/KIF14/TDRD1/SCARF1/TUBB8",36
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","27/2590","89/18842",0.303370786516854,2.20699318901566,4.55630613070033,3.92901203907431e-05,0.00124837504613611,0.00124837504613611,"KRT73/SACK1H/VIM/KRT14/KRT19/GFAP/KRT6C/KRT17/BFSP2/KRT78/KRT36/NEFH/KRT20/NEFL/DES/NES/KRT81/KRT86/SYNM/KRT34/KRT3/KRT6A/INA/KRT15/KRT75/KRT31/KRT18",27
"GO:0001503","GO:0001503","ossification","76/2590","354/18842",0.214689265536723,1.56184368387758,4.26010808352079,4.04243009987873e-05,0.00127698731189811,0.00127698731189811,"ISG15/IFITM5/SPP1/PTHLH/KL/MMP13/TWIST1/CCN1/CLEC3B/FERMT2/DLK1/TACR1/PKDCC/SCX/TMT1A/BMP8A/NELL1/RUNX2/DMP1/SOX2/TWIST2/CCDC154/IFITM1/TP63/GREM1/LGR4/COL2A1/SIX2/HSPE1/GDF10/PTN/FFAR4/ITGA11/DDR2/SMAD9/FBN2/SEMA7A/BMP8B/BMP2/SOX11/ERFE/CRIM1/AHSG/CCN4/PPARG/SCUBE3/SLC34A1/COL13A1/COL1A1/NPNT/KREMEN2/MIR205/DKK1/CHRDL1/ECM1/CYP27B1/MMP14/CLEC3A/CHRD/PANX3/ALPL/GPM6B/PENK/VCAN/MYOC/IL6/ZBTB16/S1PR1/PTPRB/IBSP/TFAP2A/CAT/MIR125B1/DLX5/IGSF10/MDK",76
"GO:1901654","GO:1901654","response to ketone","48/2590","197/18842",0.243654822335025,1.77256531368206,4.35146580134157,4.21641684640839e-05,0.0013242941417024,0.0013242941417024,"SPP1/SLC5A5/DUSP1/NKX2-2/CAV1/CARTPT/AANAT/PTGFR/TACR1/CFTR/PTGDR2/CBX3/AQP1/SLIT2/POSTN/PTGER4/NEFL/EPO/EDN1/AVP/CYP1A1/HCN2/CCL19/GABRB1/CA9/TDO2/FOS/GHR/TNFSF4/HOXB13/PSPH/AKR1C2/SLIT3/FOSB/FGF2/HOXA10/MMP14/HOXA11/PCNA/F7/TGFBR3/UGT3A2/ADCY8/AKR1C3/FOXP3/PCK1/KLF9/NTRK3",48
"GO:0072028","GO:0072028","nephron morphogenesis","19/2590","53/18842",0.358490566037736,2.60798426458804,4.67968204077516,4.34319929379145e-05,0.00134861273525968,0.00134861273525968,"HS3ST3A1/IRX1/TCF21/GDNF/GREM1/LGR4/SIX2/FOXD1/BMP2/AGTR2/NPNT/FGF2/SIX4/WNT11/HOXA11/KIF26B/LHX1/GPC3/AGT",19
"GO:0072088","GO:0072088","nephron epithelium morphogenesis","19/2590","53/18842",0.358490566037736,2.60798426458804,4.67968204077516,4.34319929379145e-05,0.00134861273525968,0.00134861273525968,"HS3ST3A1/IRX1/TCF21/GDNF/GREM1/LGR4/SIX2/FOXD1/BMP2/AGTR2/NPNT/FGF2/SIX4/WNT11/HOXA11/KIF26B/LHX1/GPC3/AGT",19
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol","44/2590","176/18842",0.25,1.81872586872587,4.35629885379929,4.49250639146501e-05,0.00138709307510487,0.00138709307510487,"ATP1A2/GRIN1/IL13/CALCA/CAPN3/F2/GPER1/SNCA/CXCL9/CAV1/GRIN2D/GRIN2A/JPH4/CASQ2/KCNK16/JPH2/CX3CL1/PLCH2/TRPA1/GRIN2C/NOS1/CEMIP/EPO/SLC24A4/TRPM2/CCL19/P2RX5/CACNB3/CACNA1G/P2RY6/JPH3/ADCYAP1R1/SLC24A2/TRPM1/CACNA1I/FGF2/SLC8A3/CACNA1B/MS4A1/P2RX2/NALF2/NTSR1/CACNA1E/CD19",44
"GO:0071168","GO:0071168","protein localization to chromatin","21/2590","62/18842",0.338709677419355,2.4640802092415,4.60958015109069,4.65056716364277e-05,0.00142091075094031,0.00142091075094031,"H4C6/H4C1/CENPA/H4C2/AURKB/H4C16/H4C8/UHRF1/H4C3/H2AC8/H4C14/H4C12/TONSL/H2AC4/H4C11/H4C4/PLK1/H4C9/H4C5/H2BC11/H4C15",21
"GO:0061564","GO:0061564","axon development","86/2590","414/18842",0.207729468599034,1.51121183295096,4.19865718591809,4.6540352135099e-05,0.00142091075094031,0.00142091075094031,"BRSK1/MAP7D2/SPP1/FAT4/PAK1/SLITRK3/VIM/ROBO2/SEMA3A/CDH2/CNTN6/HMCN2/SEMA3D/CDK5R2/ISL2/MAG/ROBO4/CDHR2/DPYSL5/CXCL12/GDNF/MIR221/NELL2/EPHB2/NEFH/EPHA10/SLIT2/NMNAT2/TNR/PTN/PTPRM/NEXN/TENM1/EDN3/EDN1/NTRK2/PHOX2B/SEMA7A/LIMK1/SEMA6A/SEMA6D/CRTAC1/EFNA3/RTN4RL2/BHLHA15/EPHA8/ACTL8/OLIG3/MYPN/BRSK2/NOVA2/CELSR3/SLIT3/KIFC2/TENM3/TUBB2B/SEMA3G/APOD/EPHB1/MIR222/SEMA5A/TRIM46/EDN2/IGSF9/PLA2G10/RAC3/GPM6B/POU4F1/FEZ1/LHX9/CDK5R1/TUBB3/PLP1/PAK3/NRXN1/RET/S100B/LHX1/EFNA4/NFASC/APLP1/NTNG1/FGF8/SLITRK2/SCARF1/EFNA2",86
"GO:0045103","GO:0045103","intermediate filament-based process","27/2590","90/18842",0.3,2.18247104247104,4.48886373082623,4.88571060672465e-05,0.00148335602587501,0.00148335602587501,"KRT73/SACK1H/VIM/KRT14/KRT19/GFAP/KRT6C/KRT17/BFSP2/KRT78/KRT36/NEFH/KRT20/NEFL/DES/NES/KRT81/KRT86/SYNM/KRT34/KRT3/KRT6A/INA/KRT15/KRT75/KRT31/KRT18",27
"GO:0019748","GO:0019748","secondary metabolic process","20/2590","58/18842",0.344827586206897,2.50858740513913,4.59344884870617,5.23973749257346e-05,0.00158205333684607,0.00158205333684607,"CYP2A13/AKR7L/CYP2A6/CYP1A2/UGT1A10/PMEL/UGT1A7/CYP3A4/FMO2/CYP1A1/CYP2W1/AKR7A3/AKR1C1/AKR1C2/SULT1C4/ACMSD/ZEB2/SLC45A2/AKR1C3/TYRP1",20
"GO:1901970","GO:1901970","positive regulation of mitotic sister chromatid separation","11/2590","22/18842",0.5,3.63745173745174,4.94122354437602,5.28436741965029e-05,0.0015867619751862,0.0015867619751862,"DLGAP5/INCENP/AURKB/ESPL1/UBE2C/CDC20/SKA1/BIRC5/PLK1/CDCA8/SKA3",11
"GO:0048880","GO:0048880","sensory system development","61/2590","271/18842",0.225092250922509,1.63752439841001,4.21999814978856,5.48166155710757e-05,0.0016370098584477,0.0016370098584477,"RD3/CNGA3/EFEMP1/GPM6A/SEMA3A/TWIST1/SGCA/ADAMTS18/SIX6/KDM5B/DLX2/RBP4/SOX2/OLFM3/PMEL/TMEM132E/LENEP/SGCG/PTPRM/MFAP2/DCX/SOX12/PRSS56/CYP1A1/FBN2/PHOX2B/CRYBA2/NES/SOX11/PLAAT1/FOS/CLDN3/FZD4/TMOD1/FBN3/TH/CHRDL1/CLDN19/TENM3/PAX6/PROX1/ZEB2/ANGPTL7/FGF2/FREM2/OPN4/ACVRL1/POU4F1/FOXE3/P2RY12/STRA6/TFAP2A/LHX1/COL5A2/SLC1A1/SLC17A8/LCTL/SIX3/TYRP1/RP1/COL5A1",61
"GO:0061333","GO:0061333","renal tubule morphogenesis","19/2590","54/18842",0.351851851851852,2.55968825968826,4.58187099500251,5.84387972312509e-05,0.00173394017622142,0.00173394017622142,"HS3ST3A1/IRX1/TCF21/GDNF/GREM1/LGR4/SIX2/FOXD1/BMP2/AGTR2/NPNT/FGF2/SIX4/WNT11/HOXA11/KIF26B/LHX1/GPC3/AGT",19
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","37/2590","141/18842",0.26241134751773,1.90901722391084,4.32511543914434,5.90142493645351e-05,0.00173394017622142,0.00173394017622142,"ATP1A2/CNGA3/KCNJ8/IFNG/ATP1A3/ATP4B/KCNJ18/FXYD4/PCSK9/KCNJ6/ASIC5/SLC24A4/TRPM2/HCN2/P2RX5/SLC34A1/CACNA1G/FXYD1/SLC39A11/SLC24A2/TRPM1/CACNA1I/HCN1/KCNH2/FXYD6/SLC39A4/KCNJ10/ATP1B2/SLC8A3/ATP4A/KCNK9/KCNJ16/CACNA1B/MS4A1/KCNJ4/NALF2/CACNA1E",37
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","37/2590","141/18842",0.26241134751773,1.90901722391084,4.32511543914434,5.90142493645351e-05,0.00173394017622142,0.00173394017622142,"ATP1A2/CNGA3/KCNJ8/IFNG/ATP1A3/ATP4B/KCNJ18/FXYD4/PCSK9/KCNJ6/ASIC5/SLC24A4/TRPM2/HCN2/P2RX5/SLC34A1/CACNA1G/FXYD1/SLC39A11/SLC24A2/TRPM1/CACNA1I/HCN1/KCNH2/FXYD6/SLC39A4/KCNJ10/ATP1B2/SLC8A3/ATP4A/KCNK9/KCNJ16/CACNA1B/MS4A1/KCNJ4/NALF2/CACNA1E",37
