"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","22/1430","60/18842",0.366666666666667,4.83128205128205,8.51813456225676,1.6882649856061e-10,1.73172882885256e-08,1.73172882885256e-08,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",22
"GO:1905819","GO:1905819","negative regulation of chromosome separation","22/1430","60/18842",0.366666666666667,4.83128205128205,8.51813456225676,1.6882649856061e-10,1.73172882885256e-08,1.73172882885256e-08,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",22
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","21/1430","55/18842",0.381818181818182,5.03092180546726,8.57931600875639,1.8104656174965e-10,1.81838640457305e-08,1.81838640457305e-08,"ENSG00000089685/ENSG00000167513/ENSG00000129810/ENSG00000161800/ENSG00000143228/ENSG00000137812/ENSG00000142945/ENSG00000076382/ENSG00000170312/ENSG00000134057/ENSG00000138778/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000114346/ENSG00000178999/ENSG00000080986/ENSG00000117650",21
"GO:0051983","GO:0051983","regulation of chromosome segregation","35/1430","140/18842",0.25,3.29405594405594,7.80763784335324,2.042237745608e-10,2.00931187175024e-08,2.00931187175024e-08,"ENSG00000175643/ENSG00000175063/ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000013810/ENSG00000122952/ENSG00000137812/ENSG00000142945/ENSG00000177602/ENSG00000170312/ENSG00000143452/ENSG00000134057/ENSG00000138778/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000126787/ENSG00000181085/ENSG00000121101/ENSG00000154839/ENSG00000109805/ENSG00000094804/ENSG00000121152/ENSG00000178999/ENSG00000135476/ENSG00000080986/ENSG00000112742",35
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","22/1430","61/18842",0.360655737704918,4.75208070617907,8.41149898378393,2.45246919771756e-10,2.36467080043927e-08,2.36467080043927e-08,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",22
"GO:0090068","GO:0090068","positive regulation of cell cycle process","50/1430","252/18842",0.198412698412698,2.61433011433011,7.39347464945811,2.62786686816694e-10,2.48410709243781e-08,2.48410709243781e-08,"ENSG00000175063/ENSG00000164045/ENSG00000166851/ENSG00000182631/ENSG00000158402/ENSG00000089685/ENSG00000129173/ENSG00000164109/ENSG00000165891/ENSG00000142731/ENSG00000161800/ENSG00000146857/ENSG00000123473/ENSG00000169679/ENSG00000138795/ENSG00000137807/ENSG00000137812/ENSG00000168496/ENSG00000164362/ENSG00000076382/ENSG00000111247/ENSG00000137090/ENSG00000170312/ENSG00000134057/ENSG00000160683/ENSG00000118193/ENSG00000134690/ENSG00000117399/ENSG00000175305/ENSG00000171848/ENSG00000164532/ENSG00000087586/ENSG00000165480/ENSG00000126787/ENSG00000097046/ENSG00000143476/ENSG00000101447/ENSG00000181085/ENSG00000154839/ENSG00000122966/ENSG00000105173/ENSG00000109805/ENSG00000094804/ENSG00000114346/ENSG00000121152/ENSG00000178999/ENSG00000135476/ENSG00000106462/ENSG00000080986/ENSG00000162009",50
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","31/1430","115/18842",0.269565217391304,3.55185162663423,7.8662165616727,2.89770048995312e-10,2.68650270424308e-08,2.68650270424308e-08,"ENSG00000175643/ENSG00000175063/ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000013810/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000170312/ENSG00000134057/ENSG00000138778/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000126787/ENSG00000181085/ENSG00000121101/ENSG00000154839/ENSG00000094804/ENSG00000178999/ENSG00000135476/ENSG00000080986/ENSG00000112742",31
"GO:0050000","GO:0050000","chromosome localization","32/1430","123/18842",0.260162601626016,3.42796065722895,7.74191757019374,4.05359620999902e-10,3.68724289215194e-08,3.68724289215194e-08,"ENSG00000089685/ENSG00000167513/ENSG00000121621/ENSG00000129810/ENSG00000161800/ENSG00000117724/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000134222/ENSG00000142945/ENSG00000076382/ENSG00000170312/ENSG00000237649/ENSG00000134057/ENSG00000269466/ENSG00000138778/ENSG00000152253/ENSG00000115163/ENSG00000118193/ENSG00000161888/ENSG00000134690/ENSG00000165480/ENSG00000126787/ENSG00000101447/ENSG00000121101/ENSG00000154839/ENSG00000114346/ENSG00000178999/ENSG00000080986/ENSG00000117650/ENSG00000112742",32
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","29/1430","107/18842",0.271028037383178,3.57112607019149,7.64335579632857,9.40596557187948e-10,8.39743704111685e-08,8.39743704111685e-08,"ENSG00000175063/ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000013810/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000138778/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000126787/ENSG00000181085/ENSG00000121101/ENSG00000154839/ENSG00000094804/ENSG00000178999/ENSG00000135476/ENSG00000080986/ENSG00000112742",29
"GO:0042742","GO:0042742","defense response to bacterium","57/1430","322/18842",0.177018633540373,2.3324371280893,6.91114229214591,1.45243648812435e-09,1.27312660168136e-07,1.27312660168136e-07,"ENSG00000234289/ENSG00000168634/ENSG00000161031/ENSG00000158714/ENSG00000115009/ENSG00000180210/ENSG00000169344/ENSG00000124635/ENSG00000103490/ENSG00000197903/ENSG00000113302/ENSG00000196890/ENSG00000197870/ENSG00000233822/ENSG00000128564/ENSG00000167207/ENSG00000220323/ENSG00000187608/ENSG00000273703/ENSG00000203814/ENSG00000163220/ENSG00000126550/ENSG00000274290/ENSG00000211893/ENSG00000163218/ENSG00000273802/ENSG00000111331/ENSG00000174885/ENSG00000171564/ENSG00000198183/ENSG00000089127/ENSG00000125831/ENSG00000159527/ENSG00000276410/ENSG00000211892/ENSG00000185130/ENSG00000211891/ENSG00000182545/ENSG00000162078/ENSG00000164047/ENSG00000274641/ENSG00000161634/ENSG00000110680/ENSG00000143546/ENSG00000131050/ENSG00000180596/ENSG00000158373/ENSG00000111335/ENSG00000277224/ENSG00000184678/ENSG00000189334/ENSG00000154451/ENSG00000275713/ENSG00000211897/ENSG00000147697/ENSG00000211896/ENSG00000278588",57
